Date,SKU,Stock Level,Reorder Level,Cost Price,,Reorder Quantity
20-01-2024,SKU0002,359,55,31.55,,0
21-01-2024,SKU0002,186,78,15.82,,0
22-01-2024,SKU0002,68,58,14.71,,0
23-01-2024,SKU0002,328,78,30.01,,0
24-01-2024,SKU0002,10,87,45.79,,77
25-01-2024,SKU0002,302,114,8.26,,0
26-01-2024,SKU0002,22,105,32.2,,83
27-01-2024,SKU0002,336,79,39.64,,0
28-01-2024,SKU0002,426,145,10.19,,0
29-01-2024,SKU0002,332,108,10.25,,0
30-01-2024,SKU0002,208,136,21.48,,0
01-01-2024,SKU0003,214,107,17.32,,0
02-01-2024,SKU0003,122,59,13.92,,0
03-01-2024,SKU0003,422,70,13.94,,0
04-01-2024,SKU0003,72,105,10.88,,33
05-01-2024,SKU0003,209,75,32.49,,0
06-01-2024,SKU0003,310,64,35.97,,0
07-01-2024,SKU0003,273,130,36.63,,0
08-01-2024,SKU0003,93,84,28.96,,0
09-01-2024,SKU0003,425,138,47.88,,0
10-01-2024,SKU0003,235,64,44.62,,0
11-01-2024,SKU0003,153,146,48.09,,0
12-01-2024,SKU0003,273,124,22.5,,0
13-01-2024,SKU0003,212,137,44.5,,0
14-01-2024,SKU0003,127,55,39.33,,0
15-01-2024,SKU0003,232,77,20.3,,0
16-01-2024,SKU0003,40,112,9.8,,72
17-01-2024,SKU0003,425,78,35.72,,0
18-01-2024,SKU0003,288,97,11.14,,0
19-01-2024,SKU0003,42,112,18.22,,70
20-01-2024,SKU0003,269,107,27.52,,0
21-01-2024,SKU0003,438,70,35.59,,0
22-01-2024,SKU0003,313,125,46.68,,0
23-01-2024,SKU0003,393,71,31.7,,0
24-01-2024,SKU0003,27,76,35.21,,49
25-01-2024,SKU0003,269,134,18.95,,0
26-01-2024,SKU0003,466,128,35.93,,0
27-01-2024,SKU0003,409,106,24.7,,0
28-01-2024,SKU0003,73,131,43.56,,58
29-01-2024,SKU0003,144,59,22.66,,0
30-01-2024,SKU0003,161,71,26.07,,0
01-01-2024,SKU0004,245,93,24.47,,0
02-01-2024,SKU0004,269,133,41.5,,0
03-01-2024,SKU0004,409,132,47.92,,0
04-01-2024,SKU0004,497,77,19.73,,0
05-01-2024,SKU0004,417,99,26.38,,0
06-01-2024,SKU0004,499,100,36.77,,0
07-01-2024,SKU0004,210,50,45.29,,0
08-01-2024,SKU0004,279,83,27.22,,0
09-01-2024,SKU0004,222,84,9.9,,0
10-01-2024,SKU0004,359,139,21.59,,0
11-01-2024,SKU0004,69,110,29.77,,41
12-01-2024,SKU0004,19,79,23.79,,60
13-01-2024,SKU0004,422,125,13.4,,0
14-01-2024,SKU0004,120,127,6.66,,7
15-01-2024,SKU0004,172,117,35.93,,0
16-01-2024,SKU0004,33,125,49.67,,92
17-01-2024,SKU0004,405,137,46.36,,0
18-01-2024,SKU0004,70,89,35.75,,19
19-01-2024,SKU0004,32,144,42.87,,112
20-01-2024,SKU0004,261,114,16.51,,0
21-01-2024,SKU0004,271,86,33.01,,0
22-01-2024,SKU0004,455,113,7.73,,0
23-01-2024,SKU0004,108,50,36.82,,0
24-01-2024,SKU0004,22,64,48.64,,42
25-01-2024,SKU0004,145,62,43.74,,0
26-01-2024,SKU0004,13,78,29.05,,65
27-01-2024,SKU0004,305,104,40.49,,0
28-01-2024,SKU0004,316,94,47.48,,0
29-01-2024,SKU0004,35,53,14.72,,18
30-01-2024,SKU0004,270,113,40.7,,0
01-01-2024,SKU0005,260,64,17.14,,0
02-01-2024,SKU0005,52,97,44.46,,45
03-01-2024,SKU0005,493,125,9.43,,0
04-01-2024,SKU0005,47,105,13.02,,58
05-01-2024,SKU0005,462,138,37.43,,0
06-01-2024,SKU0005,10,140,12.86,,130
07-01-2024,SKU0005,257,119,12.11,,0
08-01-2024,SKU0005,342,136,30,,0
09-01-2024,SKU0005,279,64,42.57,,0
10-01-2024,SKU0005,209,88,17.08,,0
11-01-2024,SKU0005,323,118,42.85,,0
12-01-2024,SKU0005,334,136,41.36,,0
13-01-2024,SKU0005,11,128,31.06,,117
14-01-2024,SKU0005,442,138,34.1,,0
15-01-2024,SKU0005,250,109,6.82,,0
16-01-2024,SKU0005,322,143,21.52,,0
17-01-2024,SKU0005,159,93,16.85,,0
18-01-2024,SKU0005,35,92,11.75,,57
19-01-2024,SKU0005,148,53,22.53,,0
20-01-2024,SKU0005,367,126,20.97,,0
21-01-2024,SKU0005,197,99,37.8,,0
22-01-2024,SKU0005,449,88,31.91,,0
23-01-2024,SKU0005,377,103,46.09,,0
24-01-2024,SKU0005,245,72,11.54,,0
25-01-2024,SKU0005,392,109,7.69,,0
26-01-2024,SKU0005,203,129,29.06,,0
27-01-2024,SKU0005,43,84,5.05,,41
28-01-2024,SKU0005,314,103,40.45,,0
29-01-2024,SKU0005,407,107,27.77,,0
30-01-2024,SKU0005,382,111,26.96,,0
01-01-2024,SKU0006,318,129,21.31,,0
02-01-2024,SKU0006,205,97,21.87,,0
03-01-2024,SKU0006,240,56,24.4,,0
04-01-2024,SKU0006,40,94,5.72,,54
05-01-2024,SKU0006,75,62,8.76,,0
06-01-2024,SKU0006,474,102,27.73,,0
07-01-2024,SKU0006,201,142,11.76,,0
08-01-2024,SKU0006,362,88,40.04,,0
09-01-2024,SKU0006,385,133,17.35,,0
10-01-2024,SKU0006,94,142,9.41,,48
11-01-2024,SKU0006,27,67,15.58,,40
12-01-2024,SKU0006,143,71,21.07,,0
13-01-2024,SKU0006,58,85,6.59,,27
14-01-2024,SKU0006,128,102,11.38,,0
15-01-2024,SKU0006,341,149,19.57,,0
16-01-2024,SKU0006,0,121,18.97,,121
17-01-2024,SKU0006,286,52,41.02,,0
18-01-2024,SKU0006,21,111,42.95,,90
19-01-2024,SKU0006,225,78,13.7,,0
20-01-2024,SKU0006,203,122,10.58,,0
21-01-2024,SKU0006,186,57,33.54,,0
22-01-2024,SKU0006,374,143,41.21,,0
23-01-2024,SKU0006,470,125,48.37,,0
24-01-2024,SKU0006,283,95,5.31,,0
25-01-2024,SKU0006,371,141,23.62,,0
26-01-2024,SKU0006,497,105,38.03,,0
27-01-2024,SKU0006,331,98,42.29,,0
28-01-2024,SKU0006,26,92,7.8,,66
29-01-2024,SKU0006,342,59,35.63,,0
30-01-2024,SKU0006,128,62,18,,0
01-01-2024,SKU0007,379,106,8.36,,0
02-01-2024,SKU0007,362,51,27.01,,0
03-01-2024,SKU0007,385,114,12.12,,0
04-01-2024,SKU0007,491,135,38.17,,0
05-01-2024,SKU0007,94,146,38.36,,52
06-01-2024,SKU0007,65,129,42.89,,64
07-01-2024,SKU0007,176,91,21.99,,0
08-01-2024,SKU0007,472,107,5.6,,0
09-01-2024,SKU0007,485,142,16.69,,0
10-01-2024,SKU0007,495,59,26.05,,0
11-01-2024,SKU0007,274,112,36.23,,0
12-01-2024,SKU0007,155,120,22.19,,0
13-01-2024,SKU0007,453,110,29.12,,0
14-01-2024,SKU0007,422,50,28.59,,0
15-01-2024,SKU0007,18,75,12.42,,57
16-01-2024,SKU0007,382,54,33.04,,0
17-01-2024,SKU0007,371,84,24.77,,0
18-01-2024,SKU0007,319,62,41.36,,0
19-01-2024,SKU0007,57,76,36.08,,19
20-01-2024,SKU0007,272,61,10.02,,0
21-01-2024,SKU0007,197,143,26.99,,0
22-01-2024,SKU0007,78,99,36.61,,21
23-01-2024,SKU0007,469,145,8.92,,0
24-01-2024,SKU0007,40,108,40.66,,68
25-01-2024,SKU0007,225,80,14.99,,0
26-01-2024,SKU0007,260,118,27.64,,0
27-01-2024,SKU0007,244,86,47.33,,0
28-01-2024,SKU0007,22,51,30.71,,29
29-01-2024,SKU0007,196,120,24.08,,0
30-01-2024,SKU0007,235,114,5.31,,0
01-01-2024,SKU0008,125,52,11,,0
02-01-2024,SKU0008,265,69,31.04,,0
03-01-2024,SKU0008,323,51,27.22,,0
04-01-2024,SKU0008,139,91,21.37,,0
05-01-2024,SKU0008,366,92,46.54,,0
06-01-2024,SKU0008,393,70,19.96,,0
07-01-2024,SKU0008,315,94,29.17,,0
08-01-2024,SKU0008,126,145,30.59,,19
09-01-2024,SKU0008,285,69,28.74,,0
10-01-2024,SKU0008,113,92,26.49,,0
11-01-2024,SKU0008,407,99,20.17,,0
12-01-2024,SKU0008,324,144,45.89,,0
13-01-2024,SKU0008,12,92,25.29,,80
14-01-2024,SKU0008,227,146,28.78,,0
15-01-2024,SKU0008,8,73,34.54,,65
16-01-2024,SKU0008,145,131,8.04,,0
17-01-2024,SKU0008,162,133,40.16,,0
18-01-2024,SKU0008,222,109,28.06,,0
19-01-2024,SKU0008,215,81,34.57,,0
20-01-2024,SKU0008,490,54,39.74,,0
21-01-2024,SKU0008,387,51,44.33,,0
22-01-2024,SKU0008,168,75,22.65,,0
23-01-2024,SKU0008,25,74,41.51,,49
24-01-2024,SKU0008,124,99,16.65,,0
25-01-2024,SKU0008,299,135,34.72,,0
26-01-2024,SKU0008,249,88,9.62,,0
27-01-2024,SKU0008,425,135,5.9,,0
28-01-2024,SKU0008,9,124,9.31,,115
29-01-2024,SKU0008,104,60,19.37,,0
30-01-2024,SKU0008,105,112,6.4,,7
01-01-2024,SKU0009,456,117,33.37,,0
02-01-2024,SKU0009,0,146,19.24,,146
03-01-2024,SKU0009,181,67,38.14,,0
04-01-2024,SKU0009,399,144,7.07,,0
05-01-2024,SKU0009,301,77,14.75,,0
06-01-2024,SKU0009,140,91,23.36,,0
07-01-2024,SKU0009,229,109,22.22,,0
08-01-2024,SKU0009,63,71,10.89,,8
09-01-2024,SKU0009,77,89,49.74,,12
10-01-2024,SKU0009,231,111,17.8,,0
11-01-2024,SKU0009,86,52,37.45,,0
12-01-2024,SKU0009,182,120,14.9,,0
13-01-2024,SKU0009,318,112,44.5,,0
14-01-2024,SKU0009,145,69,22.45,,0
15-01-2024,SKU0009,316,120,45.54,,0
16-01-2024,SKU0009,91,120,20.38,,29
17-01-2024,SKU0009,122,142,5.39,,20
18-01-2024,SKU0009,275,75,28.27,,0
19-01-2024,SKU0009,448,90,28.62,,0
20-01-2024,SKU0009,63,52,10.39,,0
21-01-2024,SKU0009,331,92,15.57,,0
22-01-2024,SKU0009,218,66,40.26,,0
23-01-2024,SKU0009,191,133,6.65,,0
24-01-2024,SKU0009,106,147,27.03,,41
25-01-2024,SKU0009,396,102,28.87,,0
26-01-2024,SKU0009,246,101,35.99,,0
27-01-2024,SKU0009,451,82,6.69,,0
28-01-2024,SKU0009,472,129,31.35,,0
29-01-2024,SKU0009,453,109,5.14,,0
30-01-2024,SKU0009,56,136,16.93,,80
01-01-2024,SKU0010,44,117,27.49,,73
02-01-2024,SKU0010,375,105,46.01,,0
03-01-2024,SKU0010,85,113,10.7,,28
04-01-2024,SKU0010,492,146,12.62,,0
05-01-2024,SKU0010,37,57,35.12,,20
06-01-2024,SKU0010,181,118,21.87,,0
07-01-2024,SKU0010,163,82,33.05,,0
08-01-2024,SKU0010,244,74,49.89,,0
09-01-2024,SKU0010,322,120,49.41,,0
10-01-2024,SKU0010,376,56,20.92,,0
11-01-2024,SKU0010,125,108,27.68,,0
12-01-2024,SKU0010,206,82,45.71,,0
13-01-2024,SKU0010,266,90,9.15,,0
14-01-2024,SKU0010,353,82,25.35,,0
15-01-2024,SKU0010,410,78,21.99,,0
16-01-2024,SKU0010,86,88,18.27,,2
17-01-2024,SKU0010,144,106,49.74,,0
18-01-2024,SKU0010,121,145,38.01,,24
19-01-2024,SKU0010,470,142,22.49,,0
20-01-2024,SKU0010,97,113,42.31,,16
21-01-2024,SKU0010,468,135,27.03,,0
22-01-2024,SKU0010,288,115,44.28,,0
23-01-2024,SKU0010,132,58,16.99,,0
24-01-2024,SKU0010,378,78,15.06,,0
25-01-2024,SKU0010,499,146,16.13,,0
26-01-2024,SKU0010,336,123,29.23,,0
27-01-2024,SKU0010,317,77,18.11,,0
28-01-2024,SKU0010,64,102,11.62,,38
29-01-2024,SKU0010,198,95,49.76,,0
30-01-2024,SKU0010,124,88,45.52,,0
01-01-2024,SKU0011,450,125,33.58,,0
02-01-2024,SKU0011,345,107,45.12,,0
03-01-2024,SKU0011,207,135,47.1,,0
04-01-2024,SKU0011,207,103,35.42,,0
05-01-2024,SKU0011,299,55,28.34,,0
06-01-2024,SKU0011,488,94,44.69,,0
07-01-2024,SKU0011,120,89,30.55,,0
08-01-2024,SKU0011,141,72,10.71,,0
09-01-2024,SKU0011,491,147,21.51,,0
10-01-2024,SKU0011,473,91,25.07,,0
11-01-2024,SKU0011,346,87,47.09,,0
12-01-2024,SKU0011,56,65,34.66,,9
13-01-2024,SKU0011,303,123,44.39,,0
14-01-2024,SKU0011,144,96,39.09,,0
15-01-2024,SKU0011,43,70,18.94,,27
16-01-2024,SKU0011,131,123,37.34,,0
17-01-2024,SKU0011,80,124,13.79,,44
18-01-2024,SKU0011,352,70,23.37,,0
19-01-2024,SKU0011,29,74,41.27,,45
20-01-2024,SKU0011,376,110,32.54,,0
21-01-2024,SKU0011,340,147,42.14,,0
22-01-2024,SKU0011,208,103,16.46,,0
23-01-2024,SKU0011,458,144,38.74,,0
24-01-2024,SKU0011,242,140,14.1,,0
25-01-2024,SKU0011,182,138,29.54,,0
26-01-2024,SKU0011,157,109,24.51,,0
27-01-2024,SKU0011,145,91,30.04,,0
28-01-2024,SKU0011,339,110,11.1,,0
29-01-2024,SKU0011,353,81,21.26,,0
30-01-2024,SKU0011,232,102,35.01,,0
01-01-2024,SKU0012,91,93,30.13,,2
02-01-2024,SKU0012,328,60,29.7,,0
03-01-2024,SKU0012,171,96,27.99,,0
04-01-2024,SKU0012,189,139,47.47,,0
05-01-2024,SKU0012,30,109,47.06,,79
06-01-2024,SKU0012,108,85,21.21,,0
07-01-2024,SKU0012,271,109,20.84,,0
08-01-2024,SKU0012,94,82,29.97,,0
09-01-2024,SKU0012,476,146,9.3,,0
10-01-2024,SKU0012,76,91,18.64,,15
11-01-2024,SKU0012,150,149,15.39,,0
12-01-2024,SKU0012,141,62,15.05,,0
13-01-2024,SKU0012,230,63,33.73,,0
14-01-2024,SKU0012,257,107,22.3,,0
15-01-2024,SKU0012,395,89,12.7,,0
16-01-2024,SKU0012,441,114,44.94,,0
17-01-2024,SKU0012,127,54,44.34,,0
18-01-2024,SKU0012,347,79,43.81,,0
19-01-2024,SKU0012,223,131,22.58,,0
20-01-2024,SKU0012,183,94,7.56,,0
21-01-2024,SKU0012,496,107,9.8,,0
22-01-2024,SKU0012,279,88,17.42,,0
23-01-2024,SKU0012,292,61,14.9,,0
24-01-2024,SKU0012,28,83,44.33,,55
25-01-2024,SKU0012,499,63,49.39,,0
26-01-2024,SKU0012,297,87,41.75,,0
27-01-2024,SKU0012,17,65,37.84,,48
28-01-2024,SKU0012,130,110,31.49,,0
29-01-2024,SKU0012,460,108,39.65,,0
30-01-2024,SKU0012,268,124,47.62,,0
01-01-2024,SKU0013,105,146,32.06,,41
02-01-2024,SKU0013,156,128,11.96,,0
03-01-2024,SKU0013,449,123,12.37,,0
04-01-2024,SKU0013,58,116,31.27,,58
05-01-2024,SKU0013,91,60,20.01,,0
06-01-2024,SKU0013,431,60,45.96,,0
07-01-2024,SKU0013,259,65,32.52,,0
08-01-2024,SKU0013,50,87,35.44,,37
09-01-2024,SKU0013,132,79,5.26,,0
10-01-2024,SKU0013,166,90,27.45,,0
11-01-2024,SKU0013,296,50,24.4,,0
12-01-2024,SKU0013,4,87,36.76,,83
13-01-2024,SKU0013,135,147,22.22,,12
14-01-2024,SKU0013,225,109,48.95,,0
15-01-2024,SKU0013,183,68,35.16,,0
16-01-2024,SKU0013,408,147,34.7,,0
17-01-2024,SKU0013,90,108,46.37,,18
18-01-2024,SKU0013,435,149,49.78,,0
19-01-2024,SKU0013,307,117,13.9,,0
20-01-2024,SKU0013,390,59,41.47,,0
21-01-2024,SKU0013,188,66,12.3,,0
22-01-2024,SKU0013,483,129,25.57,,0
23-01-2024,SKU0013,479,134,9.51,,0
24-01-2024,SKU0013,468,141,33.05,,0
25-01-2024,SKU0013,302,121,26.08,,0
26-01-2024,SKU0013,382,78,33.29,,0
27-01-2024,SKU0013,337,55,35.51,,0
28-01-2024,SKU0013,321,143,32.87,,0
29-01-2024,SKU0013,442,115,18.23,,0
30-01-2024,SKU0013,493,112,42.66,,0
01-01-2024,SKU0014,489,80,29.83,,0
02-01-2024,SKU0014,132,74,27.04,,0
03-01-2024,SKU0014,171,136,49.42,,0
04-01-2024,SKU0014,425,70,17.76,,0
05-01-2024,SKU0014,249,65,28.76,,0
06-01-2024,SKU0014,60,53,35.7,,0
07-01-2024,SKU0014,446,95,10.64,,0
08-01-2024,SKU0014,49,57,20.94,,8
09-01-2024,SKU0014,421,55,41.08,,0
10-01-2024,SKU0014,475,102,15.65,,0
11-01-2024,SKU0014,222,113,27.2,,0
12-01-2024,SKU0014,437,140,33.38,,0
13-01-2024,SKU0014,171,100,35.2,,0
14-01-2024,SKU0014,407,149,37.77,,0
15-01-2024,SKU0014,383,149,43.97,,0
16-01-2024,SKU0014,318,112,22.68,,0
17-01-2024,SKU0014,224,137,36.8,,0
18-01-2024,SKU0014,422,55,37.95,,0
19-01-2024,SKU0014,395,111,18.51,,0
20-01-2024,SKU0014,190,82,48.57,,0
21-01-2024,SKU0014,358,51,43.93,,0
22-01-2024,SKU0014,264,90,18.04,,0
23-01-2024,SKU0014,243,65,35.38,,0
24-01-2024,SKU0014,78,108,37.3,,30
25-01-2024,SKU0014,342,58,24.42,,0
26-01-2024,SKU0014,491,118,43.87,,0
27-01-2024,SKU0014,364,59,36.06,,0
28-01-2024,SKU0014,21,143,34.62,,122
29-01-2024,SKU0014,35,56,14.94,,21
30-01-2024,SKU0014,329,142,23.35,,0
01-01-2024,SKU0015,155,115,24.53,,0
02-01-2024,SKU0015,55,69,38.01,,14
03-01-2024,SKU0015,354,112,32.83,,0
04-01-2024,SKU0015,247,53,8.86,,0
05-01-2024,SKU0015,412,77,18.85,,0
06-01-2024,SKU0015,260,121,26.29,,0
07-01-2024,SKU0015,259,84,38.15,,0
08-01-2024,SKU0015,434,51,38.46,,0
09-01-2024,SKU0015,14,90,27.07,,76
10-01-2024,SKU0015,477,77,10.26,,0
11-01-2024,SKU0015,187,124,18.18,,0
12-01-2024,SKU0015,25,149,16.46,,124
13-01-2024,SKU0015,22,122,40.15,,100
14-01-2024,SKU0015,380,50,13.1,,0
15-01-2024,SKU0015,102,76,25.92,,0
16-01-2024,SKU0015,28,116,35.18,,88
17-01-2024,SKU0015,341,88,48.42,,0
18-01-2024,SKU0015,482,122,49.97,,0
19-01-2024,SKU0015,56,89,47.88,,33
20-01-2024,SKU0015,61,77,37.32,,16
21-01-2024,SKU0015,442,134,38.59,,0
22-01-2024,SKU0015,47,141,39.16,,94
23-01-2024,SKU0015,366,73,43.82,,0
24-01-2024,SKU0015,465,131,47.83,,0
25-01-2024,SKU0015,34,100,25.06,,66
26-01-2024,SKU0015,45,105,23.74,,60
27-01-2024,SKU0015,32,122,25.72,,90
28-01-2024,SKU0015,326,75,34.69,,0
29-01-2024,SKU0015,225,137,39.9,,0
30-01-2024,SKU0015,265,101,44.17,,0
01-01-2024,SKU0016,215,55,25.53,,0
02-01-2024,SKU0016,216,108,21.35,,0
03-01-2024,SKU0016,175,61,49.25,,0
04-01-2024,SKU0016,43,112,15.43,,69
05-01-2024,SKU0016,218,85,14.99,,0
06-01-2024,SKU0016,125,58,37.19,,0
07-01-2024,SKU0016,369,123,13.08,,0
08-01-2024,SKU0016,453,116,22.97,,0
09-01-2024,SKU0016,378,78,18.16,,0
10-01-2024,SKU0016,318,120,12.59,,0
11-01-2024,SKU0016,304,139,31.09,,0
12-01-2024,SKU0016,199,57,21.81,,0
13-01-2024,SKU0016,84,92,25.8,,8
14-01-2024,SKU0016,40,126,13.81,,86
15-01-2024,SKU0016,210,84,39.55,,0
16-01-2024,SKU0016,353,132,19.16,,0
17-01-2024,SKU0016,38,71,20.42,,33
18-01-2024,SKU0016,362,129,16.35,,0
19-01-2024,SKU0016,406,128,24.55,,0
20-01-2024,SKU0016,268,115,25.86,,0
21-01-2024,SKU0016,361,70,28.84,,0
22-01-2024,SKU0016,366,143,48.54,,0
23-01-2024,SKU0016,180,120,45.71,,0
24-01-2024,SKU0016,230,144,32.42,,0
25-01-2024,SKU0016,475,90,6.75,,0
26-01-2024,SKU0016,69,90,32.55,,21
27-01-2024,SKU0016,312,98,9.04,,0
28-01-2024,SKU0016,75,148,36.97,,73
29-01-2024,SKU0016,450,53,22.55,,0
30-01-2024,SKU0016,431,147,42.7,,0
01-01-2024,SKU0017,275,114,47.41,,0
02-01-2024,SKU0017,488,59,23.77,,0
03-01-2024,SKU0017,233,143,25.72,,0
04-01-2024,SKU0017,317,145,31.56,,0
05-01-2024,SKU0017,428,116,13.87,,0
06-01-2024,SKU0017,318,59,46.73,,0
07-01-2024,SKU0017,135,122,24.48,,0
08-01-2024,SKU0017,153,66,12.51,,0
09-01-2024,SKU0017,293,116,39.32,,0
10-01-2024,SKU0017,347,140,14.86,,0
11-01-2024,SKU0017,98,102,11.46,,4
12-01-2024,SKU0017,363,84,30.33,,0
13-01-2024,SKU0017,360,53,35.22,,0
14-01-2024,SKU0017,424,117,30.63,,0
15-01-2024,SKU0017,362,145,34.54,,0
16-01-2024,SKU0017,357,60,10.2,,0
17-01-2024,SKU0017,129,93,26.42,,0
18-01-2024,SKU0017,6,109,21.07,,103
19-01-2024,SKU0017,382,119,48.8,,0
20-01-2024,SKU0017,104,111,7.23,,7
21-01-2024,SKU0017,408,148,18.42,,0
22-01-2024,SKU0017,306,81,47.38,,0
23-01-2024,SKU0017,49,95,49.26,,46
24-01-2024,SKU0017,223,72,42.12,,0
25-01-2024,SKU0017,63,86,8.42,,23
26-01-2024,SKU0017,395,139,30.26,,0
27-01-2024,SKU0017,180,147,23.01,,0
28-01-2024,SKU0017,74,124,41.29,,50
29-01-2024,SKU0017,265,107,7.48,,0
30-01-2024,SKU0017,188,134,13.87,,0
01-01-2024,SKU0018,182,92,27.01,,0
02-01-2024,SKU0018,354,137,12.09,,0
03-01-2024,SKU0018,491,64,36.17,,0
04-01-2024,SKU0018,67,116,41.93,,49
05-01-2024,SKU0018,169,51,36.7,,0
06-01-2024,SKU0018,321,120,24.81,,0
07-01-2024,SKU0018,171,54,44.53,,0
08-01-2024,SKU0018,283,102,11.2,,0
09-01-2024,SKU0018,106,94,16.72,,0
10-01-2024,SKU0018,365,142,27.03,,0
11-01-2024,SKU0018,110,90,7.76,,0
12-01-2024,SKU0018,77,112,9.31,,35
13-01-2024,SKU0018,185,145,22.88,,0
14-01-2024,SKU0018,252,143,47.47,,0
15-01-2024,SKU0018,235,121,45.88,,0
16-01-2024,SKU0018,92,81,25.97,,0
17-01-2024,SKU0018,129,51,11.4,,0
18-01-2024,SKU0018,182,59,13.01,,0
19-01-2024,SKU0018,33,92,21.99,,59
20-01-2024,SKU0018,480,92,14.45,,0
21-01-2024,SKU0018,403,116,8.73,,0
22-01-2024,SKU0018,302,72,35.32,,0
23-01-2024,SKU0018,221,147,31.17,,0
24-01-2024,SKU0018,373,131,18.11,,0
25-01-2024,SKU0018,383,146,40.05,,0
26-01-2024,SKU0018,489,146,39.92,,0
27-01-2024,SKU0018,281,109,27.1,,0
28-01-2024,SKU0018,339,130,9.34,,0
29-01-2024,SKU0018,0,55,46.33,,55
30-01-2024,SKU0018,448,62,35.09,,0
01-01-2024,SKU0019,472,70,16.12,,0
02-01-2024,SKU0019,96,144,32.47,,48
03-01-2024,SKU0019,86,107,23.23,,21
04-01-2024,SKU0019,330,134,33.59,,0
05-01-2024,SKU0019,251,146,26.32,,0
06-01-2024,SKU0019,363,77,26.85,,0
07-01-2024,SKU0019,14,119,38.11,,105
08-01-2024,SKU0019,141,57,32.62,,0
09-01-2024,SKU0019,310,126,8.6,,0
10-01-2024,SKU0019,384,147,7.94,,0
11-01-2024,SKU0019,288,107,18.73,,0
12-01-2024,SKU0019,69,89,24.36,,20
13-01-2024,SKU0019,311,135,17.39,,0
14-01-2024,SKU0019,278,50,34.32,,0
15-01-2024,SKU0019,53,126,13.78,,73
16-01-2024,SKU0019,345,114,36.69,,0
17-01-2024,SKU0019,386,59,39.79,,0
18-01-2024,SKU0019,301,109,10.59,,0
19-01-2024,SKU0019,251,118,34.29,,0
20-01-2024,SKU0019,246,69,48.26,,0
21-01-2024,SKU0019,133,111,13.68,,0
22-01-2024,SKU0019,487,62,45.92,,0
23-01-2024,SKU0019,243,107,32.27,,0
24-01-2024,SKU0019,408,86,31.59,,0
25-01-2024,SKU0019,238,59,7.34,,0
26-01-2024,SKU0019,16,52,38.67,,36
27-01-2024,SKU0019,411,83,26.52,,0
28-01-2024,SKU0019,415,83,37.45,,0
29-01-2024,SKU0019,348,79,41.41,,0
30-01-2024,SKU0019,278,86,28.57,,0
01-01-2024,SKU0020,232,117,16.86,,0
02-01-2024,SKU0020,399,83,11.37,,0
03-01-2024,SKU0020,351,81,12.22,,0
04-01-2024,SKU0020,153,134,44.01,,0
05-01-2024,SKU0020,416,107,10.56,,0
06-01-2024,SKU0020,185,73,22.31,,0
07-01-2024,SKU0020,431,58,20.04,,0
08-01-2024,SKU0020,82,90,43.95,,8
09-01-2024,SKU0020,54,73,26.5,,19
10-01-2024,SKU0020,424,74,49.84,,0
