Order ID,Date,SKU,Units Sold,Selling Price,Total Sales Value
131,15-11-2024,SKU0013,2,89.75,179.5
132,27-09-2024,SKU0055,1,90.67,90.67
133,12-10-2024,SKU0046,1,28.18,28.18
134,04-10-2024,SKU0052,1,37.24,37.24
135,08-11-2024,SKU0094,1,84.68,84.68
136,18-10-2024,SKU0028,2,28.38,56.76
137,15-11-2024,SKU0086,2,89.27,178.54
138,13-10-2024,SKU0088,2,84.09,168.18
139,02-10-2024,SKU0030,1,82.68,82.68
140,26-09-2024,SKU0045,1,90.26,90.26
141,30-10-2024,SKU0038,1,89.82,89.82
142,20-10-2024,SKU0020,2,92.55,185.1
143,19-10-2024,SKU0070,2,89.16,178.32
144,26-09-2024,SKU0097,2,64.62,129.24
145,28-10-2024,SKU0047,1,24.2,24.2
146,15-11-2024,SKU0059,1,64.82,64.82
147,12-10-2024,SKU0079,1,94.8,94.8
148,28-10-2024,SKU0079,2,97.09,194.18
149,11-10-2024,SKU0096,1,75.56,75.56
150,18-09-2024,SKU0014,1,72.45,72.45
151,12-10-2024,SKU0042,2,94.46,188.92
152,06-10-2024,SKU0061,2,36.21,72.42
153,19-09-2024,SKU0059,2,23.59,47.18
154,18-10-2024,SKU0008,2,36.1,72.2
155,17-09-2024,SKU0100,1,95.41,95.41
156,10-10-2024,SKU0057,2,29.11,58.22
157,05-11-2024,SKU0022,1,30.23,30.23
158,29-10-2024,SKU0084,1,27.37,27.37
159,11-11-2024,SKU0088,2,53.63,107.26
160,30-10-2024,SKU0021,2,81.67,163.34
161,19-10-2024,SKU0028,1,44.37,44.37
162,24-10-2024,SKU0049,2,19.01,38.02
163,03-11-2024,SKU0023,2,76.62,153.24
164,07-11-2024,SKU0088,2,64.88,129.76
165,21-10-2024,SKU0054,1,53.12,53.12
166,03-10-2024,SKU0023,1,96.77,96.77
167,13-11-2024,SKU0068,2,52.34,104.68
168,03-11-2024,SKU0046,2,75.93,151.86
169,29-10-2024,SKU0068,1,24.27,24.27
170,03-11-2024,SKU0094,2,47.49,94.98
171,30-10-2024,SKU0028,2,29.1,58.2
172,19-10-2024,SKU0095,1,41.33,41.33
173,27-09-2024,SKU0097,1,53.17,53.17
174,09-10-2024,SKU0050,1,25.7,25.7
175,24-10-2024,SKU0083,1,82.27,82.27
176,18-10-2024,SKU0063,2,43.84,87.68
177,05-10-2024,SKU0010,1,90.69,90.69
178,28-09-2024,SKU0089,1,70.72,70.72
179,14-10-2024,SKU0037,1,25.89,25.89
180,18-09-2024,SKU0013,2,67.78,135.56
181,26-09-2024,SKU0070,1,12.09,12.09
182,05-10-2024,SKU0030,2,82.66,165.32
183,14-10-2024,SKU0087,1,97.68,97.68
184,02-11-2024,SKU0100,2,71,142
185,24-09-2024,SKU0080,2,93.38,186.76
186,29-10-2024,SKU0072,1,36.53,36.53
187,09-10-2024,SKU0080,1,48.12,48.12
188,03-11-2024,SKU0011,1,48.21,48.21
189,31-10-2024,SKU0001,1,20.08,20.08
190,16-10-2024,SKU0086,1,81.68,81.68
191,14-10-2024,SKU0018,1,54.56,54.56
192,29-09-2024,SKU0100,1,54.14,54.14
193,10-11-2024,SKU0011,1,70.16,70.16
194,23-10-2024,SKU0084,2,25.39,50.78
195,28-09-2024,SKU0010,1,82.91,82.91
196,26-09-2024,SKU0048,1,42.93,42.93
197,06-11-2024,SKU0061,1,17.17,17.17
198,03-10-2024,SKU0010,1,27.13,27.13
199,17-09-2024,SKU0060,2,32.76,65.52
200,08-10-2024,SKU0022,1,26.02,26.02
201,01-10-2024,SKU0075,1,31.8,31.8
202,02-10-2024,SKU0099,2,99.63,199.26
203,06-10-2024,SKU0009,2,58.4,116.8
204,10-11-2024,SKU0015,2,64.26,128.52
205,26-09-2024,SKU0083,1,24.94,24.94
206,28-10-2024,SKU0037,1,13.96,13.96
207,12-10-2024,SKU0070,1,37.93,37.93
208,04-11-2024,SKU0100,1,79.28,79.28
209,16-11-2024,SKU0044,2,60.29,120.58
210,09-11-2024,SKU0069,2,10.97,21.94
211,09-10-2024,SKU0003,2,80.99,161.98
212,03-10-2024,SKU0010,2,19.36,38.72
213,20-10-2024,SKU0077,2,49.63,99.26
214,27-10-2024,SKU0004,2,99.95,199.9
215,12-11-2024,SKU0056,1,20.92,20.92
216,08-10-2024,SKU0040,1,83.35,83.35
217,14-11-2024,SKU0033,1,81.93,81.93
218,20-09-2024,SKU0098,1,50.05,50.05
219,23-09-2024,SKU0100,1,98.94,98.94
220,21-09-2024,SKU0033,2,37.72,75.44
221,17-10-2024,SKU0060,2,38.42,76.84
222,05-10-2024,SKU0021,2,23.72,47.44
223,20-09-2024,SKU0069,1,43.28,43.28
224,05-11-2024,SKU0045,2,36.68,73.36
225,08-10-2024,SKU0057,1,64.4,64.4
226,19-09-2024,SKU0077,1,13.67,13.67
227,09-10-2024,SKU0040,2,37.92,75.84
228,20-09-2024,SKU0081,2,10.42,20.84
229,01-11-2024,SKU0064,1,10.57,10.57
230,10-10-2024,SKU0010,1,83.83,83.83
231,14-11-2024,SKU0074,2,77.48,154.96
232,30-09-2024,SKU0066,1,76.97,76.97
233,04-11-2024,SKU0085,1,41.83,41.83
234,27-10-2024,SKU0065,2,72.93,145.86
235,06-11-2024,SKU0030,1,33.09,33.09
236,19-09-2024,SKU0082,2,37.85,75.7
237,02-11-2024,SKU0035,2,60.62,121.24
238,07-10-2024,SKU0053,2,72.97,145.94
239,12-10-2024,SKU0039,1,33.92,33.92
240,17-09-2024,SKU0022,1,71.14,71.14
241,16-10-2024,SKU0067,1,96.62,96.62
242,06-11-2024,SKU0070,1,54.45,54.45
243,20-09-2024,SKU0100,1,46.64,46.64
244,30-09-2024,SKU0080,2,30.92,61.84
245,04-10-2024,SKU0067,1,42.05,42.05
246,28-09-2024,SKU0100,1,57.59,57.59
247,24-10-2024,SKU0075,2,94.97,189.94
248,28-10-2024,SKU0017,2,33.47,66.94
249,22-10-2024,SKU0019,2,30.83,61.66
250,02-10-2024,SKU0060,1,96.45,96.45
251,17-09-2024,SKU0072,1,64.53,64.53
252,19-09-2024,SKU0078,1,76.17,76.17
253,25-10-2024,SKU0090,2,84.67,169.34
254,21-10-2024,SKU0089,2,17.36,34.72
255,16-11-2024,SKU0051,1,53.63,53.63
256,09-11-2024,SKU0048,1,22.61,22.61
257,14-11-2024,SKU0057,2,66.19,132.38
258,01-10-2024,SKU0010,1,95.84,95.84
259,24-10-2024,SKU0032,2,15.06,30.12
260,02-10-2024,SKU0079,1,34.67,34.67
261,03-10-2024,SKU0068,2,99.97,199.94
262,20-10-2024,SKU0028,2,10.49,20.98
263,26-09-2024,SKU0004,1,22.56,22.56
264,27-09-2024,SKU0061,1,17.27,17.27
265,14-10-2024,SKU0077,2,78.77,157.54
266,13-10-2024,SKU0012,1,77.58,77.58
267,24-10-2024,SKU0015,2,79.98,159.96
268,04-10-2024,SKU0029,1,79.74,79.74
269,02-11-2024,SKU0087,1,85.17,85.17
270,03-11-2024,SKU0013,2,79.56,159.12
271,16-10-2024,SKU0038,1,53.52,53.52
272,29-09-2024,SKU0058,1,77.09,77.09
273,02-10-2024,SKU0035,2,63.79,127.58
274,18-09-2024,SKU0040,1,42.99,42.99
275,06-10-2024,SKU0076,1,85.29,85.29
276,28-09-2024,SKU0094,2,80.92,161.84
277,15-10-2024,SKU0005,2,25.61,51.22
278,01-11-2024,SKU0002,2,12.2,24.4
279,24-09-2024,SKU0030,1,38.44,38.44
280,24-10-2024,SKU0099,2,46.34,92.68
281,01-11-2024,SKU0010,2,25.69,51.38
282,11-11-2024,SKU0073,2,86.96,173.92
283,02-11-2024,SKU0081,1,13.02,13.02
284,06-10-2024,SKU0038,1,53.53,53.53
285,14-11-2024,SKU0059,1,14.99,14.99
286,21-10-2024,SKU0094,1,58.3,58.3
287,25-10-2024,SKU0035,2,51.73,103.46
288,17-10-2024,SKU0071,2,80.21,160.42
289,02-10-2024,SKU0012,2,72.07,144.14
290,09-10-2024,SKU0042,1,85.96,85.96
291,20-10-2024,SKU0098,2,58.99,117.98
292,18-10-2024,SKU0049,1,84.02,84.02
293,03-10-2024,SKU0067,2,74.72,149.44
294,29-10-2024,SKU0033,1,80.16,80.16
295,10-10-2024,SKU0013,1,64.06,64.06
296,21-10-2024,SKU0075,2,74.76,149.52
297,09-11-2024,SKU0020,2,46.15,92.3
298,09-10-2024,SKU0095,1,17.65,17.65
299,24-09-2024,SKU0033,1,47.49,47.49
300,09-11-2024,SKU0034,2,25.61,51.22
301,09-10-2024,SKU0050,2,66.64,133.28
302,07-10-2024,SKU0050,1,33.69,33.69
303,05-10-2024,SKU0009,2,96.23,192.46
304,17-10-2024,SKU0007,1,34.41,34.41
305,05-11-2024,SKU0009,1,18.83,18.83
306,23-09-2024,SKU0026,2,89.26,178.52
307,03-11-2024,SKU0002,2,47.3,94.6
308,10-10-2024,SKU0005,2,42.02,84.04
309,01-11-2024,SKU0066,2,89.68,179.36
310,24-09-2024,SKU0010,1,68.81,68.81
311,29-09-2024,SKU0031,1,57.9,57.9
312,19-09-2024,SKU0033,2,39.44,78.88
313,20-10-2024,SKU0006,2,36.32,72.64
314,29-09-2024,SKU0014,1,62.16,62.16
315,12-11-2024,SKU0078,1,55.13,55.13
316,09-11-2024,SKU0015,1,34.84,34.84
317,13-11-2024,SKU0097,2,26.56,53.12
318,18-10-2024,SKU0095,1,83.62,83.62
319,21-10-2024,SKU0081,1,71.9,71.9
320,07-10-2024,SKU0043,2,99.4,198.8
321,17-09-2024,SKU0079,1,56.42,56.42
322,18-09-2024,SKU0020,2,99.49,198.98
323,12-11-2024,SKU0021,2,51.47,102.94
324,28-10-2024,SKU0064,1,58.15,58.15
325,29-10-2024,SKU0029,2,28.82,57.64
326,12-10-2024,SKU0059,1,23.46,23.46
327,19-09-2024,SKU0073,2,94.62,189.24
328,10-10-2024,SKU0064,1,98.31,98.31
329,12-10-2024,SKU0093,1,59.28,59.28
330,24-09-2024,SKU0044,1,34.5,34.5
331,02-11-2024,SKU0034,1,95.63,95.63
332,23-10-2024,SKU0047,1,81.71,81.71
333,24-09-2024,SKU0009,2,26.18,52.36
334,04-10-2024,SKU0060,1,36.85,36.85
335,04-10-2024,SKU0030,2,10.38,20.76
336,28-09-2024,SKU0017,2,62.38,124.76
337,22-10-2024,SKU0052,2,57.38,114.76
338,26-10-2024,SKU0059,1,24.75,24.75
339,18-09-2024,SKU0004,1,40.54,40.54
340,06-10-2024,SKU0040,2,94.53,189.06
341,11-11-2024,SKU0096,1,68.41,68.41
342,19-09-2024,SKU0096,1,87.67,87.67
343,26-10-2024,SKU0007,1,85.45,85.45
344,30-10-2024,SKU0038,2,92.86,185.72
345,20-10-2024,SKU0032,2,13.74,27.48
346,04-11-2024,SKU0069,1,33.62,33.62
347,01-11-2024,SKU0067,1,47.4,47.4
348,01-11-2024,SKU0056,2,67.61,135.22
349,22-09-2024,SKU0020,1,64.73,64.73
350,26-10-2024,SKU0064,2,32.15,64.3
351,12-11-2024,SKU0017,1,27.35,27.35
352,26-09-2024,SKU0016,2,49.37,98.74
353,10-10-2024,SKU0011,2,32.56,65.12
354,04-10-2024,SKU0013,1,96.86,96.86
355,19-10-2024,SKU0018,2,96.89,193.78
356,25-10-2024,SKU0014,2,20.2,40.4
357,23-09-2024,SKU0034,2,73.46,146.92
358,31-10-2024,SKU0076,1,30.54,30.54
359,03-11-2024,SKU0086,1,74.57,74.57
360,30-10-2024,SKU0085,1,79.04,79.04
361,15-10-2024,SKU0026,2,14.34,28.68
362,05-10-2024,SKU0042,1,72.58,72.58
363,24-10-2024,SKU0061,2,90.71,181.42
364,25-10-2024,SKU0039,1,29.47,29.47
365,11-10-2024,SKU0002,1,20.4,20.4
366,03-10-2024,SKU0057,2,61.01,122.02
367,16-11-2024,SKU0050,1,56.57,56.57
368,06-11-2024,SKU0016,2,89.72,179.44
369,23-10-2024,SKU0062,1,50.6,50.6
370,19-09-2024,SKU0098,2,47.22,94.44
371,10-10-2024,SKU0011,1,74.26,74.26
372,13-11-2024,SKU0083,1,16.97,16.97
373,09-11-2024,SKU0063,2,15.13,30.26
374,04-10-2024,SKU0030,1,55.44,55.44
375,04-11-2024,SKU0054,2,18.01,36.02
376,12-10-2024,SKU0071,1,94.52,94.52
377,07-10-2024,SKU0027,1,68.88,68.88
378,27-09-2024,SKU0086,1,77.83,77.83
379,12-11-2024,SKU0064,2,30.6,61.2
380,13-11-2024,SKU0081,2,54.46,108.92
381,27-10-2024,SKU0079,1,22.05,22.05
382,03-10-2024,SKU0009,2,28.28,56.56
383,06-11-2024,SKU0076,2,61.14,122.28
384,31-10-2024,SKU0072,2,35.19,70.38
385,24-10-2024,SKU0002,1,92.54,92.54
386,07-10-2024,SKU0049,1,99.57,99.57
387,20-09-2024,SKU0048,1,10.35,10.35
388,16-11-2024,SKU0055,1,78.32,78.32
389,18-10-2024,SKU0080,1,20.38,20.38
390,04-10-2024,SKU0067,2,61.72,123.44
391,30-10-2024,SKU0031,1,30.56,30.56
392,15-11-2024,SKU0026,1,96.84,96.84
393,14-10-2024,SKU0066,1,88.82,88.82
394,22-10-2024,SKU0030,1,63.59,63.59
395,23-10-2024,SKU0077,1,25.84,25.84
396,30-10-2024,SKU0078,1,80.44,80.44
397,05-11-2024,SKU0001,1,56.83,56.83
398,12-10-2024,SKU0096,2,65.04,130.08
399,04-11-2024,SKU0070,2,74.61,149.22
400,10-11-2024,SKU0022,2,47.47,94.94
401,10-11-2024,SKU0075,2,10.7,21.4
402,10-10-2024,SKU0087,2,42.78,85.56
403,26-09-2024,SKU0054,2,47.23,94.46
404,24-10-2024,SKU0014,1,43.02,43.02
405,04-11-2024,SKU0014,2,84.79,169.58
406,24-09-2024,SKU0084,1,39.91,39.91
407,18-09-2024,SKU0071,2,47.47,94.94
408,30-10-2024,SKU0019,1,15.54,15.54
409,21-10-2024,SKU0026,2,74.52,149.04
410,11-11-2024,SKU0059,2,29.39,58.78
411,07-11-2024,SKU0022,1,31.15,31.15
412,07-10-2024,SKU0006,2,62.82,125.64
413,12-11-2024,SKU0063,2,98.52,197.04
414,13-10-2024,SKU0077,1,46.91,46.91
415,09-10-2024,SKU0074,2,39.44,78.88
416,18-10-2024,SKU0054,1,13.26,13.26
417,12-10-2024,SKU0019,1,80.86,80.86
418,15-11-2024,SKU0095,2,33.52,67.04
419,23-09-2024,SKU0010,2,79.2,158.4
420,19-10-2024,SKU0037,2,35.4,70.8
421,03-10-2024,SKU0077,2,12.69,25.38
422,24-09-2024,SKU0017,1,54.84,54.84
423,28-10-2024,SKU0055,2,91.55,183.1
424,03-10-2024,SKU0005,2,28.95,57.9
425,03-11-2024,SKU0021,2,23.85,47.7
426,28-10-2024,SKU0039,2,26.63,53.26
427,02-11-2024,SKU0020,2,72.12,144.24
428,03-11-2024,SKU0071,1,43.07,43.07
429,04-10-2024,SKU0015,1,33.05,33.05
430,22-10-2024,SKU0079,2,40.39,80.78
431,12-11-2024,SKU0053,1,37.82,37.82
432,25-10-2024,SKU0087,2,58.94,117.88
433,16-11-2024,SKU0033,1,22,22
434,16-11-2024,SKU0044,2,55.78,111.56
435,30-10-2024,SKU0066,2,38.06,76.12
436,09-10-2024,SKU0050,1,93.94,93.94
437,28-09-2024,SKU0032,1,47.96,47.96
438,13-11-2024,SKU0079,1,19,19
439,09-10-2024,SKU0071,1,94.02,94.02
440,08-11-2024,SKU0073,2,94.38,188.76
441,19-10-2024,SKU0055,1,25.79,25.79
442,08-11-2024,SKU0028,1,83.48,83.48
443,11-11-2024,SKU0086,2,87.57,175.14
444,14-10-2024,SKU0003,1,42,42
445,30-10-2024,SKU0053,1,24.36,24.36
446,09-10-2024,SKU0042,2,81.86,163.72
447,23-09-2024,SKU0002,1,12.55,12.55
448,02-11-2024,SKU0022,1,65.75,65.75
449,18-09-2024,SKU0025,2,40.78,81.56
450,17-09-2024,SKU0089,2,63.64,127.28
451,20-09-2024,SKU0032,2,81,162
452,24-09-2024,SKU0007,2,84.59,169.18
453,04-11-2024,SKU0062,1,99.86,99.86
454,15-10-2024,SKU0031,1,67.62,67.62
455,04-10-2024,SKU0063,2,30.11,60.22
456,10-11-2024,SKU0037,2,34.85,69.7
457,23-10-2024,SKU0068,1,49.25,49.25
458,17-10-2024,SKU0097,1,86.36,86.36
459,22-09-2024,SKU0079,1,43.02,43.02
460,30-10-2024,SKU0009,2,71.94,143.88
461,10-10-2024,SKU0070,2,14.06,28.12
462,15-11-2024,SKU0046,2,48.71,97.42
463,03-11-2024,SKU0095,2,25.03,50.06
464,27-10-2024,SKU0034,2,94.46,188.92
465,01-10-2024,SKU0060,2,81.23,162.46
466,26-10-2024,SKU0013,2,22.49,44.98
467,28-09-2024,SKU0036,2,46.17,92.34
468,01-11-2024,SKU0096,2,17.25,34.5
469,04-11-2024,SKU0086,1,77.19,77.19
470,30-09-2024,SKU0048,1,27.22,27.22
471,13-10-2024,SKU0093,1,82.39,82.39
472,07-11-2024,SKU0075,2,16.66,33.32
473,23-10-2024,SKU0006,1,61.57,61.57
474,29-09-2024,SKU0005,2,64.74,129.48
475,12-11-2024,SKU0065,2,40.09,80.18
476,24-10-2024,SKU0050,1,24.78,24.78
477,01-11-2024,SKU0074,1,39.14,39.14
478,24-10-2024,SKU0074,1,54.6,54.6
479,19-09-2024,SKU0024,1,97.22,97.22
480,02-10-2024,SKU0007,2,50.22,100.44
481,28-09-2024,SKU0086,1,27.04,27.04
482,30-09-2024,SKU0058,2,12.33,24.66
483,20-10-2024,SKU0021,2,10.74,21.48
484,05-11-2024,SKU0086,2,47.51,95.02
485,17-10-2024,SKU0033,1,36.67,36.67
486,25-10-2024,SKU0044,2,20.36,40.72
487,21-09-2024,SKU0025,2,25.5,51
488,28-09-2024,SKU0095,2,41.49,82.98
489,12-10-2024,SKU0080,2,71.8,143.6
490,03-10-2024,SKU0015,2,64.86,129.72
491,30-10-2024,SKU0029,2,17.2,34.4
492,08-11-2024,SKU0083,2,22.87,45.74
493,27-09-2024,SKU0052,2,91.76,183.52
494,19-10-2024,SKU0017,2,16.4,32.8
495,27-10-2024,SKU0090,1,27.9,27.9
496,26-10-2024,SKU0100,1,38.61,38.61
497,01-11-2024,SKU0036,1,30.71,30.71
498,20-09-2024,SKU0035,2,36.18,72.36
499,18-10-2024,SKU0040,2,75.5,151
500,17-10-2024,SKU0023,2,18.55,37.1
501,27-09-2024,SKU0073,1,41.7,41.7
502,03-10-2024,SKU0034,1,65.06,65.06
503,13-10-2024,SKU0058,1,14.4,14.4
504,24-09-2024,SKU0082,1,13.99,13.99
505,07-10-2024,SKU0080,2,54.87,109.74
506,19-10-2024,SKU0061,2,90.98,181.96
507,05-11-2024,SKU0096,1,50.03,50.03
508,21-09-2024,SKU0028,2,46.6,93.2
509,16-11-2024,SKU0060,1,10.91,10.91
510,18-10-2024,SKU0032,2,75.94,151.88
511,11-10-2024,SKU0058,2,24.77,49.54
512,13-11-2024,SKU0082,1,72.86,72.86
513,24-09-2024,SKU0044,2,41.37,82.74
514,13-10-2024,SKU0034,1,14.05,14.05
515,12-10-2024,SKU0093,1,39.51,39.51
516,26-10-2024,SKU0021,1,69.36,69.36
517,15-10-2024,SKU0001,1,79.15,79.15
518,25-09-2024,SKU0055,2,67.2,134.4
519,04-10-2024,SKU0080,2,74,148
520,23-09-2024,SKU0049,1,31.23,31.23
521,28-10-2024,SKU0097,2,96.87,193.74
522,07-10-2024,SKU0021,2,30.42,60.84
523,02-10-2024,SKU0099,1,25.31,25.31
524,19-09-2024,SKU0055,1,32.48,32.48
525,18-10-2024,SKU0027,1,97.48,97.48
526,26-09-2024,SKU0020,2,15.85,31.7
527,18-10-2024,SKU0095,2,79.61,159.22
528,24-09-2024,SKU0016,1,19.48,19.48
529,18-10-2024,SKU0078,1,79.6,79.6
530,05-11-2024,SKU0048,2,34.93,69.86
531,20-09-2024,SKU0032,1,75.4,75.4
532,15-10-2024,SKU0032,1,14.41,14.41
533,28-09-2024,SKU0053,2,40.11,80.22
534,08-11-2024,SKU0053,2,51.82,103.64
535,23-10-2024,SKU0002,1,11.86,11.86
536,22-10-2024,SKU0057,1,26.28,26.28
537,06-11-2024,SKU0022,2,25.19,50.38
538,05-10-2024,SKU0052,1,53.33,53.33
539,23-10-2024,SKU0081,1,21.99,21.99
540,02-11-2024,SKU0096,1,97.95,97.95
541,17-10-2024,SKU0081,1,89.82,89.82
542,30-10-2024,SKU0058,1,30.19,30.19
543,12-10-2024,SKU0034,1,31.08,31.08
544,31-10-2024,SKU0071,2,95.27,190.54
545,22-09-2024,SKU0093,1,36.96,36.96
546,15-10-2024,SKU0017,2,48.1,96.2
547,03-10-2024,SKU0088,2,73.13,146.26
548,14-11-2024,SKU0072,1,40.96,40.96
549,06-10-2024,SKU0023,1,91.22,91.22
550,28-10-2024,SKU0033,2,63.01,126.02
551,01-11-2024,SKU0029,2,61.05,122.1
552,02-11-2024,SKU0019,1,59.89,59.89
553,26-09-2024,SKU0069,1,20.08,20.08
554,22-09-2024,SKU0037,1,81.14,81.14
555,16-11-2024,SKU0087,2,61.49,122.98
556,03-11-2024,SKU0026,1,14.82,14.82
557,18-10-2024,SKU0024,1,86.53,86.53
558,18-09-2024,SKU0054,1,75.65,75.65
